Sim	GAMMA	NCURR	STEPS	STR_MUTATION	K_1	Ksd_1	H_1	Hsd_1	GW_1	GWsd_1	R_1	Rsd_1	FIS	Distance
3346	13.1955	35024	0.2878	0.000953597	12.4118	1.83912	0.912779	0.0271696	0.771264	0.131529	15.8235	5.29428	-0.00552486	6.61355
3347	13.1955	35024	0.2878	0.000953597	12.4118	1.83912	0.912779	0.0271696	0.771264	0.131529	15.8235	5.29428	-0.00552486	6.61355
3348	13.5084	32758	0.291712	0.000945232	14.0588	2.86074	0.928465	0.0320181	0.603649	0.135335	23.6471	7.95252	-0.00105597	5.29156
3349	13.7342	35132	0.277467	0.000936481	12.4706	3.53761	0.909263	0.0413802	0.79084	0.169879	16.3529	8.26091	0.0127791	5.82555
3350	13.569	37306	0.282163	0.000966646	12.0588	2.7265	0.898174	0.0387985	0.73131	0.172408	16.3529	5.33785	-0.0315329	6.5289
3351	13.2072	34589	0.279455	0.000997199	13.1176	2.31523	0.917241	0.0294845	0.665737	0.154818	20	7.06222	-0.0226161	5.62311
3352	13.0045	33163	0.276568	0.000966722	12.8235	2.32474	0.918188	0.0269204	0.66163	0.125399	19.1765	5.5928	-0.017094	6.20682
3353	13.4809	31798	0.284	0.000997844	13.5882	2.52633	0.918594	0.0313211	0.694119	0.150956	19.7647	7.18096	-0.00335468	5.67544
3354	13.5773	32481	0.270512	0.000964063	15.1765	2.18619	0.935091	0.0273521	0.586701	0.178787	27.8824	11.0164	0.0279814	4.60425
3355	14.077	33150	0.262612	0.000989101	11.5882	2.26547	0.881542	0.0492922	0.693192	0.171984	17	6.74537	0.00825921	5.64975
