Sim	GAMMA	NCURR	STEPS	STR_MUTATION	K_1	Ksd_1	H_1	Hsd_1	GW_1	GWsd_1	R_1	Rsd_1	FIS
13927	9.66807	1441	0.190094	0.00032356	2.41176	0.939336	0.346872	0.254649	0.966667	0.0934353	1.73333	1.0328	-0.0055918
13928	13.1135	6531	0.183596	0.000506089	6.29412	1.92888	0.78976	0.0688029	0.871062	0.17574	6.88235	4.19646	0.0273917
13929	13.3365	17	0.201739	0.000716035	1.11765	0.332106	0.0552443	0.156806	1	0	1	0	-0.470238
13930	8.15302	31017	0.210872	0.000168701	6.23529	1.85504	0.743697	0.0798973	0.880742	0.12036	6.23529	2.48821	-0.0117391
13931	12.3086	49000	0.213858	0.000733331	11.5882	2.06334	0.910209	0.0251752	0.692806	0.237984	18.7647	10.3533	0.0173882
13932	13.9525	285	0.113794	0.000104874	1.11765	0.332106	0.0396825	0.12231	1	0	1	0	0.266129
13933	9.85678	1857	0.264503	0.000544816	4.29412	1.1048	0.631497	0.15295	0.912885	0.133246	3.82353	1.42457	-0.0117768
13934	12.4987	109	0.191345	0.000269763	1.17647	0.392953	0.0457516	0.129152	1	0	1	0	0.272727
13935	8.66432	56	0.174129	0.00088564	1.41176	0.5073	0.123716	0.18906	0.952381	0.125988	1.14286	0.377964	0.225389
13936	11.9385	32	0.209282	0.000968046	1.11765	0.332106	0.015873	0.0501164	1	0	1	0	-0.0612245
13937	13.7047	17746	0.292658	0.0003969	5.82353	1.38	0.737317	0.120449	0.869281	0.150637	6	2.42384	-0.00898926
13938	14.1779	22	0.11222	0.000698978	1	0	0.42328	0	1	0	1	0	-0.012987
13939	13.849	23175	0.298641	0.000721235	8.23529	1.60193	0.839247	0.0616502	0.753304	0.200835	10.7059	3.78756	-0.00654854
13940	9.16953	630	0.284773	0.000640539	2.58824	1.12132	0.408652	0.261283	0.97381	0.0668952	2.07143	1.20667	0.0666667
13941	13.3537	18	0.105755	0.000438567	1	0	0.137566	0	1	0	1	0	-0.04
13942	10.4974	1361	0.21988	0.000894744	4.64706	1.16946	0.673981	0.0918885	0.8412	0.175838	4.76471	1.82104	0.0155763
13943	14.3751	917	0.144398	0.000350382	2.70588	0.587868	0.455338	0.157621	0.944118	0.136796	1.94118	0.826936	0.022695
13944	12.3425	28	0.254464	0.000631972	1.35294	0.492592	0.0711173	0.143221	1	0	1	0	-0.127854
13945	12.4881	3592	0.266736	0.000527196	4.29412	1.35852	0.616869	0.157074	0.959664	0.0763042	3.58824	1.87279	0.0269563
13946	10.3699	296	0.248751	0.000805571	2.47059	0.799816	0.37286	0.21791	0.95625	0.0946485	1.75	1	0.00866551
13947	10.6911	6605	0.174554	0.000278899	3.88235	0.92752	0.57812	0.157102	0.955882	0.0982382	3.05882	0.826936	0.0421435
13948	11.1166	2608	0.162399	0.000211761	2.76471	0.752447	0.457361	0.192243	0.984375	0.0625	1.9375	0.680074	0.00812434
13949	12.197	6664	0.244758	0.000444837	4.88235	1.11144	0.710862	0.0917992	0.940149	0.0994691	4.29412	1.53153	-0.0234357
13950	14.8924	16858	0.189633	0.000194805	5.70588	1.68689	0.715842	0.111143	0.90957	0.158905	5.64706	2.73727	-0.0221419
13951	11.3297	9837	0.149549	0.0003979	5.94118	1.78433	0.747121	0.0822133	0.926237	0.150323	5.64706	2.39638	0.00475779
13952	12.9712	48	0.129715	0.000962783	1.11765	0.332106	0.0347028	0.112667	1	0	1	0	0.157407
13953	11.1112	16963	0.241682	0.000839166	9.23529	1.71499	0.858699	0.0445932	0.825647	0.170148	11.0588	4.77586	0.0221888
13954	9.16534	3438	0.284485	0.000472854	3.82353	0.951006	0.588547	0.0940741	0.985294	0.0606339	2.88235	0.92752	-0.00686625
13955	10.2332	1132	0.222866	0.00012737	2.23529	0.83137	0.272487	0.194557	1	0	1.5	0.650444	0.077469
13956	8.50331	11	0.164037	0.000121252	1	0	0	0	0	0	0	0	0
13957	12.3784	950	0.186894	0.000165623	1.70588	0.771744	0.190476	0.23409	1	0	1.33333	0.5	0.0533446
13958	9.86395	143	0.258861	0.000571146	1.29412	0.469668	0.092437	0.160962	1	0	1	0	4.96762e-17
13959	8.87524	263	0.164958	0.000457799	1.47059	0.624264	0.0988173	0.142839	0.952381	0.125988	1.28571	0.48795	-0.0655738
13960	8.82533	33837	0.170293	0.000251938	8.94118	1.85306	0.848584	0.060692	0.849977	0.133285	9.88235	3.2955	0.051131
13961	11.1832	17092	0.265754	0.000518038	5.76471	1.48026	0.760971	0.0753965	0.853548	0.155252	6.23529	3.11307	-0.00509771
13962	13.3576	441	0.227423	0.000439346	1.88235	0.485071	0.230314	0.182974	1	0	1.07143	0.267261	-0.0604782
13963	10.7641	31	0.149599	0.000809364	1.11765	0.332106	0.0564893	0.159766	1	0	1	0	0.1875
13964	13.4234	11551	0.170163	0.000509339	7.47059	1.94029	0.805633	0.0600587	0.862945	0.146793	8	2.97909	-0.0176636
13965	9.06595	152	0.222509	0.000298462	1.23529	0.437237	0.0650482	0.124106	1	0	1	0	-0.0348259
13966	12.9776	34	0.241726	0.00065763	1	0	0	0	0	0	0	0	0
13967	10.5891	564	0.209082	0.000122989	1.29412	0.469668	0.0946156	0.189448	1	0	1	0	-0.0684932
13968	13.169	292	0.179145	0.000171831	1.17647	0.392953	0.0539994	0.13432	1	0	1	0	-0.339394
13969	11.3812	94	0.255927	0.000170958	1.11765	0.332106	0.0365702	0.110623	1	0	1	0	-0.0353982
13970	13.2503	4272	0.167965	0.000159641	3.11765	0.857493	0.45207	0.164002	0.973529	0.0752447	2.23529	0.970143	-0.00393279
13971	12.9032	26	0.23722	0.000147915	1	0	0	0	0	0	0	0	0
