68	246	246	221	465	130	118	149	123	100	214	100	282	131	151	268	185		188.059	96.496
12368	6858	6768	5610	2767	9228	4042	5616	4877	9818	7070	7937	12880	5264	3542	9542	3159		6902.706	3044.463
18	68	12	42	38	21	40	25	12	15	20	29	38	23	12	38	30		28.294	14.636
52329	6468	91764	11658	19182	15638	74745	10153	44659	19093	28844	42712	53281	29638	14862	28734	22842		33329.529	23789.876
12	9	59	12	28	19	33	15	16	23	25	21	33	54	12	21	43		25.588	14.723
16123	39294	44079	31055	41855	33876	25197	59544	22436	28504	22099	35924	19976	26669	15895	11992	19947		29086.176	12268.902
2228	684	1658	1377	894	764	1288	1279	1633	4987	1063	1088	2606	1200	841	2831	2021		1673.059	1062.356
2640	330	1100	930	377	1934	760	952	800	394	1393	1505	254	625	440	487	853		927.882	637.260
366	398	700	1635	1056	549	583	564	1215	1069	461	1489	724	978	574	960	1293		859.647	388.864
21	64	20	41	17	19	37	20	33	29	33	44	26	95	30	17	35		34.176	19.765
23187	35408	21558	30848	36423	22235	42662	27947	33366	74102	32691	24057	17996	48029	41654	102184	31389		37984.471	21133.880
2246	3851	5760	1260	7497	5636	3542	3220	5684	7177	8073	5342	10792	5339	1835	4690	5484		5142.824	2421.699
155	121	398	123	269	168	149	185	277	134	184	70	133	311	250	282	224		201.941	85.146
1985	2920	4865	2935	1386	1029	5135	3562	3097	4152	1898	2324	2389	7720	1487	2519	1293		2982.118	1713.395
28479	68350	32615	29213	23078	12797	31493	18128	40112	26696	24936	47557	13329	21203	17209	28511	22060		28574.471	13611.161
656	775	1171	1190	706	1660	746	3459	1086	1028	787	985	1760	1373	853	638	621		1146.706	687.770
707	639	521	940	949	2639	594	661	768	629	571	357	2181	605	554	1087	796		894.000	602.843
652	1235	893	939	1027	526	1470	647	746	252	1279	481	790	1345	523	1670	1536		941.824	418.550
24306	40233	8064	22774	6254	12101	10817	46000	6924	17937	18759	21720	25300	14431	29752	11817	26152		20196.529	11257.905
