Sim	GAMMA	NCURR	STEPS	STR_MUTATION	K_1	Ksd_1	H_1	Hsd_1	GW_1	GWsd_1	R_1	Rsd_1	FIS
19651	13.7227	71	0.133823	0.000258798	1.17647	0.392953	0.0701214	0.16709	1	0	1	0	0.117486
19652	10.5325	24	0.199103	0.000699199	1	0	0.0555556	0	1	0	1	0	-1.30511e-17
19653	10.0017	1669	0.111443	0.000442383	3.35294	0.996317	0.514846	0.171741	0.918067	0.124697	2.76471	1.34766	0.0296586
19654	8.83458	7518	0.235882	0.000890478	8.82353	2.24264	0.839122	0.047493	0.848238	0.126395	9.88235	4.01376	-0.0209742
19655	11.6619	1421	0.262281	0.00093581	3.94118	1.39062	0.555089	0.128153	0.933327	0.127737	3.47059	2.29449	-0.0311958
19656	8.72676	1790	0.186901	0.000745183	4.64706	1.16946	0.618301	0.155573	0.955182	0.105772	3.94118	1.39062	0.0499845
19657	14.7181	43413	0.146053	0.000638227	12.5882	2.06334	0.905229	0.0244798	0.785922	0.180957	16.4706	6.99212	-0.0223119
19658	11.9405	12830	0.24672	0.000419951	6.82353	1.50977	0.786181	0.0789708	0.894062	0.136175	6.76471	1.82104	0.066504
19659	12.9198	1602	0.110931	0.000498174	3.05882	0.966345	0.423996	0.18213	0.988235	0.0485071	2.11765	1.0537	-0.00204035
19660	8.40983	46	0.262344	0.000808322	1.11765	0.332106	0.0462185	0.135858	1	0	1	0	0.227273
19661	12.8218	17506	0.239338	0.000762894	9.88235	2.31523	0.865826	0.043125	0.825426	0.155636	11.6471	4.96162	0.057963
19662	8.05861	65	0.12576	0.000134065	1.11765	0.332106	0.035761	0.122451	1	0	1	0	-0.00537634
19663	8.16303	205	0.122983	0.000825447	1.88235	0.600245	0.187115	0.193786	0.974359	0.09245	1.23077	0.438529	0.0942623
19664	13.9598	205	0.165107	0.00034765	1.47059	0.624264	0.0887955	0.166351	1	0	1.14286	0.377964	0.0443243
